epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4427.51,1.76,1.07915,1.03576,0.48205,0.35289,0.33613,0.16262,1.60556,0.97834,1.00496,0.00307,0.00307,0.00307
44,4772.75,1.75422,1.07431,1.0385,0.48981,0.35452,0.34067,0.16464,1.60654,0.97834,1.00565,0.002905,0.002905,0.002905
45,5117.83,1.74597,1.06451,1.03565,0.4862,0.35272,0.33978,0.16511,1.60307,0.97949,1.00414,0.00274,0.00274,0.00274
46,5461.58,1.74117,1.05676,1.02981,0.47334,0.35364,0.33645,0.16404,1.60328,0.97636,1.00364,0.002575,0.002575,0.002575
47,5804.53,1.73907,1.0596,1.03478,0.47367,0.3597,0.34014,0.16534,1.60177,0.97484,1.00375,0.00241,0.00241,0.00241
48,6145.7,1.74446,1.06433,1.03336,0.48458,0.36006,0.34493,0.16704,1.59874,0.97144,1.00341,0.002245,0.002245,0.002245
49,6488.45,1.74296,1.05705,1.03157,0.48228,0.35527,0.34055,0.16494,1.59826,0.97268,1.00234,0.00208,0.00208,0.00208
50,6829.38,1.74142,1.0543,1.02971,0.48316,0.35956,0.34443,0.16714,1.59784,0.96965,1.00201,0.001915,0.001915,0.001915
51,7165.17,1.73519,1.09141,1.04212,0.48384,0.35413,0.34307,0.16701,1.59859,0.97096,1.00224,0.00175,0.00175,0.00175
52,7495.99,1.73704,1.09938,1.04156,0.48627,0.35534,0.34158,0.16617,1.59791,0.9722,1.00192,0.001585,0.001585,0.001585
53,7825.83,1.73015,1.07943,1.03943,0.48373,0.35291,0.34026,0.16475,1.59954,0.97307,1.00254,0.00142,0.00142,0.00142
54,8154.56,1.72989,1.0885,1.03871,0.48171,0.35394,0.33894,0.1641,1.5996,0.9741,1.00266,0.001255,0.001255,0.001255
55,8485.65,1.71968,1.07881,1.03874,0.48072,0.34863,0.3348,0.1633,1.60011,0.97317,1.00311,0.00109,0.00109,0.00109
56,8816.67,1.71772,1.07446,1.03842,0.47808,0.34547,0.33406,0.16276,1.59857,0.9714,1.003,0.000925,0.000925,0.000925
57,9149.45,1.71814,1.06897,1.03719,0.46684,0.34489,0.33043,0.16173,1.5961,0.97318,1.00198,0.00076,0.00076,0.00076
58,9484.89,1.70593,1.05749,1.03213,0.46391,0.34744,0.32887,0.16112,1.59588,0.97308,1.00131,0.000595,0.000595,0.000595
59,9814.98,1.70178,1.04927,1.03135,0.46675,0.34805,0.32921,0.16159,1.59605,0.97257,1.00126,0.00043,0.00043,0.00043
60,10150.4,1.711,1.05887,1.03448,0.47087,0.34719,0.32848,0.16152,1.59547,0.97155,1.00087,0.000265,0.000265,0.000265
